小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary)
114,['3924'],27.748B,璋,b'\xe7\x92\x8b'
115,['8131'],27.7430,琰,b'\xe7\x90\xb0'
116,['6073'],27.73A0,玠,b'\xe7\x8e\xa0'
117,['8781'],27.7452,瑒,b'\xe7\x91\x92'
118,['12861'],27.74DB,瓛,b'\xe7\x93\x9b'
119,['7491'],27.73FD,珽,b'\xe7\x8f\xbd'
120,['3118'],27.7441,瑁,b'\xe7\x91\x81'
120,['28706'],27.E01F,,b'\xee\x80\x9f'
121,['28960'],27.E020,,b'\xee\x80\xa0'
122,['6895'],27.73E9,珩,b'\xe7\x8f\xa9'
123,['6071'],27.73A6,玦,b'\xe7\x8e\xa6'
124,['3117'],27.745E,瑞,b'\xe7\x91\x9e'
125,['6890'],27.73E5,珥,b'\xe7\x8f\xa5'
126,['9437'],27.7471,瑱,b'\xe7\x91\xb1'
126,['41718'],27.E021,,b'\xee\x80\xa1'
127,['8132'],27.742B,琫,b'\xe7\x90\xab'
128,['6445'],27.73CC,珌,b'\xe7\x8f\x8c'
129,['28943'],27.E022,,b'\xee\x80\xa2'
130,['9438'],27.7475,瑵,b'\xe7\x91\xb5'
131,['8782'],27.7451,瑑,b'\xe7\x91\x91'
132,['6455'],27.73C7,珇,b'\xe7\x8f\x87'
133,['28972'],27.E023,,b'\xee\x80\xa3'
133,['28884'],27.E024,,b'\xee\x80\xa4'
134,['11096'],27.74AA,璪,b'\xe7\x92\xaa'
135,['28880'],27.E025,,b'\xee\x80\xa5'
136,['28971'],27.E026,,b'\xee\x80\xa6'
137,['11893'],27.74C3,瓃,b'\xe7\x93\x83'
138,['9436'],27.7473,瑳,b'\xe7\x91\xb3'
139,['6892'],27.73BC,玼,b'\xe7\x8e\xbc'
140,['11098'],27.74B1,璱,b'\xe7\x92\xb1'
141,['9441'],27.746E,瑮,b'\xe7\x91\xae'
142,['3923'],27.7469,瑩,b'\xe7\x91\xa9'
143,['10021'],27.748A,璊,b'\xe7\x92\x8a'
143,['28696'],27.E027,,b'\xee\x80\xa7'
144,['3115'],27.7455,瑕,b'\xe7\x91\x95'
145,['2696'],27.7422,琢,b'\xe7\x90\xa2'
146,['8137'],27.7431,琱,b'\xe7\x90\xb1'
147,['2257'],27.7406,理,b'\xe7\x90\x86'
148,['1354'],27.73CD,珍,b'\xe7\x8f\x8d'
149,['1022'],27.73A9,玩,b'\xe7\x8e\xa9'
149,['49037'],27.E028,,b'\xee\x80\xa8'
150,['1353'],27.73B2,玲,b'\xe7\x8e\xb2'
151,['9439'],27.7472,瑲,b'\xe7\x91\xb2'
152,['5564'],27.738E,玎,b'\xe7\x8e\x8e'
153,['8138'],27.7424,琤,b'\xe7\x90\xa4'
154,['3547'],27.7463,瑣,b'\xe7\x91\xa3'
155,['28843'],27.E029,,b'\xee\x80\xa9'
156,['8784'],27.7440,瑀,b'\xe7\x91\x80'
157,['6068'],27.73A4,玤,b'\xe7\x8e\xa4'
158,['28687'],27.E02A,,b'\xee\x80\xaa'
159,['28914'],27.E02B,,b'\xee\x80\xab'
160,['8134'],27.741A,琚,b'\xe7\x90\x9a'
161,['28890'],27.E02C,,b'\xee\x80\xac'
162,['669'],27.7396,玖,b'\xe7\x8e\x96'
163,['28728'],27.E02D,,b'\xee\x80\xad'
164,['28747'],27.E02E,,b'\xee\x80\xae'
165,['28735'],27.E02F,,b'\xee\x80\xaf'
166,['10025'],27.7485,璅,b'\xe7\x92\x85'
167,['10623'],27.74A1,璡,b'\xe7\x92\xa1'
168,['28923'],27.E031,,b'\xee\x80\xb1'
169,['10023'],27.7481,璁,b'\xe7\x92\x81'
170,['28955'],27.E032,,b'\xee\x80\xb2'
171,['28975'],27.E033,,b'\xee\x80\xb3'
172,['28857'],27.E034,,b'\xee\x80\xb4'
173,['29009'],27.E035,,b'\xee\x80\xb5'
174,['28717'],27.E036,,b'\xee\x80\xb6'
175,['28781'],27.E037,,b'\xee\x80\xb7'
176,['11530'],27.74B6,璶,b'\xe7\x92\xb6'
177,['28803'],27.E038,,b'\xee\x80\xb8'
178,['28864'],27.E039,,b'\xee\x80\xb9'
179,['8788'],27.7442,瑂,b'\xe7\x91\x82'
180,['10621'],27.7492,璒,b'\xe7\x92\x92'
181,['28658'],27.E03B,,b'\xee\x80\xbb'
182,['5757'],27.7397,玗,b'\xe7\x8e\x97'
183,['28691'],27.E03C,,b'\xee\x80\xbc'
184,['8787'],27.744E,瑎,b'\xe7\x91\x8e'
185,['3566'],27.78A7,碧,b'\xe7\xa2\xa7'
186,['2704'],27.7428,琨,b'\xe7\x90\xa8'
186,['28913'],27.E03E,,b'\xee\x80\xbe'
187,['28721'],27.E03F,,b'\xee\x80\xbf'
188,['3546'],27.7464,瑤,b'\xe7\x91\xa4'
189,['1757'],27.73E0,珠,b'\xe7\x8f\xa0'
190,['5758'],27.7393,玓,b'\xe7\x8e\x93'
191,['11891'],27.74C5,瓅,b'\xe7\x93\x85'
192,['6070'],27.73AD,玭,b'\xe7\x8e\xad'
192,['12251'],27.8819,蠙,b'\xe8\xa0\x99'
193,['28749'],27.E040,,b'\xee\x81\x80'
194,['6893'],27.73E7,珧,b'\xe7\x8f\xa7'
195,['1024'],27.739F,玟,b'\xe7\x8e\x9f'
196,['3549'],27.7470,瑰,b'\xe7\x91\xb0'
197,['4265'],27.74A3,璣,b'\xe7\x92\xa3'
198,['2254'],27.7405,琅,b'\xe7\x90\x85'
199,['5756'],27.7395,玕,b'\xe7\x8e\x95'
199,['28767'],27.E041,,b'\xee\x81\x81'
200,['1351'],27.73CA,珊,b'\xe7\x8f\x8a'
201,['3114'],27.745A,瑚,b'\xe7\x91\x9a'
202,['6460'],27.73CB,珋,b'\xe7\x8f\x8b'
203,['7493'],27.7400,琀,b'\xe7\x90\x80'
204,['28978'],27.E042,,b'\xee\x81\x82'
205,['11092'],27.7497,璗,b'\xe7\x92\x97'
206,['29007'],27.E043,,b'\xee\x81\x83'
206,['5345'],27.9748,靈,b'\xe9\x9d\x88'
207,['6447'],27.73C8,珈,b'\xe7\x8f\x88'
208,['4542'],27.74A9,璩,b'\xe7\x92\xa9'
209,['8133'],27.7416,琖,b'\xe7\x90\x96'
210,['2702'],27.741B,琛,b'\xe7\x90\x9b'
211,['11094'],27.74AB,璫,b'\xe7\x92\xab'
212,['8143'],27.7432,琲,b'\xe7\x90\xb2'
213,['6446'],27.73C2,珂,b'\xe7\x8f\x82'
214,['28669'],27.E044,,b'\xee\x81\x84'
215,['6900'],27.73DD,珝,b'\xe7\x8f\x9d'
216,['3927'],27.7480,璀,b'\xe7\x92\x80'
217,['4545'],27.74A8,璨,b'\xe7\x92\xa8'
218,['8135'],27.7421,琡,b'\xe7\x90\xa1'
219,['8778'],27.7444,瑄,b'\xe7\x91\x84'
220,['6889'],27.73D9,珙,b'\xe7\x8f\x99'
221,['1023'],27.73A8,玨,b'\xe7\x8e\xa8'
221,['35801'],27.E045,,b'\xee\x81\x85'
222,['1754'],27.73ED,班,b'\xe7\x8f\xad'
223,['28891'],27.E046,,b'\xee\x81\x86'
224,['5435'],27.6C14,气,b'\xe6\xb0\x94'
225,['973'],27.6C1B,氛,b'\xe6\xb0\x9b'
225,['8455'],27.96F0,雰,b'\xe9\x9b\xb0'
226,['41'],27.58EB,士,b'\xe5\xa3\xab'
227,['23071'],27.E047,,b'\xee\x81\x87'
227,['2515'],27.5A7F,婿,b'\xe5\xa9\xbf'
