小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary)
5405,['4470'],27.5C68,屨,b'\xe5\xb1\xa8'
5406,['27571'],27.E70D,,b'\xee\x9c\x8d'
5407,['27472'],27.E70E,,b'\xee\x9c\x8e'
5408,['11464'],27.5C69,屩,b'\xe5\xb1\xa9'
5409,['1613'],27.5C50,屐,b'\xe5\xb1\x90'
5410,['441'],27.821F,舟,b'\xe8\x88\x9f'
5411,['1128'],27.4FDE,俞,b'\xe4\xbf\x9e'
5412,['2339'],27.8239,船,b'\xe8\x88\xb9'
5413,['44173'],27.F11D,,b'\xef\x84\x9d'
5414,['7620'],27.8233,舳,b'\xe8\x88\xb3'
5415,['12630'],27.826B,艫,b'\xe8\x89\xab'
5416,['44162'],27.EEAE,,b'\xee\xba\xae'
5417,['10121'],27.8250,艐,b'\xe8\x89\x90'
5418,['1684'],27.6715,朕,b'\xe6\x9c\x95'
5419,['1863'],27.822B,舫,b'\xe8\x88\xab'
5420,['1865'],27.822C,般,b'\xe8\x88\xac'
5420,['1865'],27.EE90,,b'\xee\xba\x90'
5421,['944'],27.670D,服,b'\xe6\x9c\x8d'
5421,['44163'],27.E711,,b'\xee\x9c\x91'
5422,['7619'],27.8238,舸,b'\xe8\x88\xb8'
5423,['3208'],27.8247,艇,b'\xe8\x89\x87'
5424,['8926'],27.8245,艅,b'\xe8\x89\x85'
5425,['10122'],27.824E,艎,b'\xe8\x89\x8e'
5426,['135'],27.65B9,方,b'\xe6\x96\xb9'
5426,['5727'],27.6C78,汸,b'\xe6\xb1\xb8'
5427,['5970'],27.65BB,斻,b'\xe6\x96\xbb'
5428,['10'],27.513F,儿,b'\xe5\x84\xbf'
5429,['34'],27.5140,兀,b'\xe5\x85\x80'
5430,['755'],27.5152,兒,b'\xe5\x85\x92'
5431,['88'],27.5141,允,b'\xe5\x85\x81'
5432,['481'],27.514C,兌,b'\xe5\x85\x8c'
5433,['176'],27.5145,充,b'\xe5\x85\x85'
5434,['177'],27.5144,兄,b'\xe5\x85\x84'
5435,['3384'],27.5162,兢,b'\xe5\x85\xa2'
5436,['21417'],27.F3FE,,b'\xef\x8f\xbe'
5436,['4788'],27.7C2A,簪,b'\xe7\xb0\xaa'
5437,['21436'],27.F0D9,,b'\xef\x83\x99'
5438,['40053'],27.F655,,b'\xef\x99\x95'
5438,['55217'],27.F09B,,b'\xef\x82\x9b'
5438,['3684'],27.8C8C,貌,b'\xe8\xb2\x8c'
5439,['23864'],27.F077,,b'\xef\x81\xb7'
5439,['235'],27.EDFB,,b'\xee\xb7\xbb'
5439,['235'],27.5F01,弁,b'\xe5\xbc\x81'
5440,['21424'],27.F47C,,b'\xef\x91\xbc'
5441,['1981'],27.515C,兜,b'\xe5\x85\x9c'
5442,['313'],27.5148,先,b'\xe5\x85\x88'
5443,['7789'],27.515F,兟,b'\xe5\x85\x9f'
5444,['679'],27.79BF,禿,b'\xe7\xa6\xbf'
5445,['11908'],27.7A68,穨,b'\xe7\xa9\xa8'
5446,['694'],27.898B,見,b'\xe8\xa6\x8b'
5447,['2820'],27.8996,視,b'\xe8\xa6\x96'
5447,['38496'],27.E712,,b'\xee\x9c\x92'
5447,['38521'],27.E713,,b'\xee\x9c\x93'
5448,['49528'],27.E714,,b'\xee\x9c\x94'
5449,['10222'],27.89A3,覣,b'\xe8\xa6\xa3'
5450,['49439'],27.E715,,b'\xee\x9c\x95'
5451,['11985'],27.89B6,覶,b'\xe8\xa6\xb6'
5452,['49444'],27.E716,,b'\xee\x9c\x96'
5453,['49460'],27.E717,,b'\xee\x9c\x97'
5454,['9644'],27.899D,覝,b'\xe8\xa6\x9d'
5455,['49473'],27.E718,,b'\xee\x9c\x98'
5456,['5366'],27.89C0,觀,b'\xe8\xa7\x80'
5456,['43961'],27.E719,,b'\xee\x9c\x99'
5457,['49345'],27.F0FB,,b'\xef\x83\xbb'
5458,['5180'],27.89BD,覽,b'\xe8\xa6\xbd'
5459,['49431'],27.E71A,,b'\xee\x9c\x9a'
5460,['49455'],27.E71B,,b'\xee\x9c\x9b'
5461,['49485'],27.E71C,,b'\xee\x9c\x9c'
5462,['49374'],27.E71D,,b'\xee\x9c\x9d'
5463,['49488'],27.E71E,,b'\xee\x9c\x9e'
5464,['11268'],27.89AD,覭,b'\xe8\xa6\xad'
5465,['49445'],27.E71F,,b'\xee\x9c\x9f'
5466,['11269'],27.89AF,覯,b'\xe8\xa6\xaf'
5467,['49525'],27.E720,,b'\xee\x9c\xa0'
5468,['8339'],27.8998,覘,b'\xe8\xa6\x98'
5469,['12259'],27.89B9,覹,b'\xe8\xa6\xb9'
5470,['10220'],27.89A2,覢,b'\xe8\xa6\xa2'
5471,['49514'],27.E721,,b'\xee\x9c\xa1'
5472,['49515'],27.E722,,b'\xee\x9c\xa2'
5473,['49382'],27.E723,,b'\xee\x9c\xa3'
5474,['49472'],27.E724,,b'\xee\x9c\xa4'
5475,['49461'],27.E725,,b'\xee\x9c\xa5'
5476,['49348'],27.E726,,b'\xee\x9c\xa6'
5477,['4643'],27.89AC,覬,b'\xe8\xa6\xac'
5478,['4346'],27.89A6,覦,b'\xe8\xa6\xa6'
5479,['49481'],27.E727,,b'\xee\x9c\xa7'
5480,['49520'],27.E728,,b'\xee\x9c\xa8'
5481,['5104'],27.89BA,覺,b'\xe8\xa6\xba'
5482,['49498'],27.E729,,b'\xee\x9c\xa9'
5483,['10347'],27.975A,靚,b'\xe9\x9d\x9a'
5484,['4345'],27.89AA,親,b'\xe8\xa6\xaa'
5485,['4822'],27.89B2,覲,b'\xe8\xa6\xb2'
5486,['3251'],27.899C,覜,b'\xe8\xa6\x9c'
5487,['49362'],27.E72A,,b'\xee\x9c\xaa'
5488,['8338'],27.8995,覕,b'\xe8\xa6\x95'
5489,['49385'],27.E72B,,b'\xee\x9c\xab'
5490,['49479'],27.E72C,,b'\xee\x9c\xac'
5491,['12643'],27.89BF,覿,b'\xe8\xa6\xbf'
5492,['9647'],27.899E,覞,b'\xe8\xa6\x9e'
5493,['49517'],27.E72D,,b'\xee\x9c\xad'
5494,['52750'],27.E72E,,b'\xee\x9c\xae'
5495,['140'],27.6B20,欠,b'\xe6\xac\xa0'
5496,['2635'],27.6B3D,欽,b'\xe6\xac\xbd'
5497,['35747'],27.E72F,,b'\xee\x9c\xaf'
5498,['6806'],27.6B2F,欯,b'\xe6\xac\xaf'
5500,['6380'],27.6B28,欨,b'\xe6\xac\xa8'
5501,['9940'],27.6B51,歑,b'\xe6\xad\x91'
5502,['35625'],27.E730,,b'\xee\x9c\xb0'
5503,['4753'],27.6B5F,歟,b'\xe6\xad\x9f'
5504,['35690'],27.E731,,b'\xee\x9c\xb1'
5505,['10550'],27.6B55,歕,b'\xe6\xad\x95'
5506,['3064'],27.6B47,歇,b'\xe6\xad\x87'
5507,['5237'],27.6B61,歡,b'\xe6\xad\xa1'
5508,['968'],27.6B23,欣,b'\xe6\xac\xa3'
5509,['27633'],27.E732,,b'\xee\x9c\xb2'
5510,['2633'],27.6B3E,款,b'\xe6\xac\xbe'
5510,['35645'],27.E733,,b'\xee\x9c\xb3'
5511,['35550'],27.E734,,b'\xee\x9c\xb4'
5512,['2197'],27.6B32,欲,b'\xe6\xac\xb2'
5513,['3504'],27.6B4C,歌,b'\xe6\xad\x8c'
5513,['52011'],27.E735,,b'\xee\x9c\xb5'
5514,['8692'],27.6B42,歂,b'\xe6\xad\x82'
5515,['9363'],27.6B4D,歍,b'\xe6\xad\x8d'
5516,['35743'],27.E736,,b'\xee\x9c\xb6'
5516,['9789'],27.5648,噈,b'\xe5\x99\x88'
5517,['35590'],27.E737,,b'\xee\x9c\xb7'
5518,['35554'],27.E738,,b'\xee\x9c\xb8'
5519,['9364'],27.6B4B,歋,b'\xe6\xad\x8b'
5520,['9362'],27.6B4A,歊,b'\xe6\xad\x8a'
5521,['8035'],27.6B3B,欻,b'\xe6\xac\xbb'
5522,['35562'],27.E739,,b'\xee\x9c\xb9'
5523,['35683'],27.E73A,,b'\xee\x9c\xba'
5525,['3890'],27.6B4E,歎,b'\xe6\xad\x8e'
5525,['3890'],27.E73B,,b'\xee\x9c\xbb'
5526,['35644'],27.E73C,,b'\xee\x9c\xbc'
5527,['7405'],27.6B38,欸,b'\xe6\xac\xb8'
5528,['35591'],27.E73D,,b'\xee\x9c\xbd'
5529,['3889'],27.6B50,歐,b'\xe6\xad\x90'
5530,['10551'],27.6B54,歔,b'\xe6\xad\x94'
5531,['7404'],27.6B37,欷,b'\xe6\xac\xb7'
5532,['4510'],27.6B5C,歜,b'\xe6\xad\x9c'
5533,['35678'],27.F0EF,,b'\xef\x83\xaf'
5534,['32851'],27.E73E,,b'\xee\x9c\xbe'
5535,['35659'],27.E73F,,b'\xee\x9c\xbf'
5536,['35717'],27.E740,,b'\xee\x9d\x80'
5537,['35745'],27.E741,,b'\xee\x9d\x81'
5538,['47649'],27.E742,,b'\xee\x9d\x82'
5539,['35611'],27.E743,,b'\xee\x9d\x83'
5540,['35749'],27.E744,,b'\xee\x9d\x84'
5541,['8691'],27.6B43,歃,b'\xe6\xad\x83'
5542,['7402'],27.6B36,欶,b'\xe6\xac\xb6'
5543,['8694'],27.6B41,歁,b'\xe6\xad\x81'
5544,['8036'],27.6B3F,欿,b'\xe6\xac\xbf'
5545,['6808'],27.6B31,欱,b'\xe6\xac\xb1'
5546,['3503'],27.6B49,歉,b'\xe6\xad\x89'
5547,['55610'],27.E745,,b'\xee\x9d\x85'
5548,['6807'],27.6B2D,欭,b'\xe6\xac\xad'
5549,['6805'],27.6B2C,欬,b'\xe6\xac\xac'
5550,['35718'],27.E746,,b'\xee\x9d\x86'
5551,['4234'],27.6B59,歙,b'\xe6\xad\x99'
5552,['35636'],27.E747,,b'\xee\x9d\x87'
5554,['35579'],27.E749,,b'\xee\x9d\x89'
5555,['6008'],27.6B25,欥,b'\xe6\xac\xa5'
5556,['401'],27.6B21,次,b'\xe6\xac\xa1'
5556,['401'],27.E74A,,b'\xee\x9d\x8a'
5557,['35704'],27.E74B,,b'\xee\x9d\x8b'
5558,['2634'],27.6B3A,欺,b'\xe6\xac\xba'
5559,['8689'],27.6B46,歆,b'\xe6\xad\x86'
5560,['8693'],27.6B48,歈,b'\xe6\xad\x88'
5561,['35701'],27.F3AC,,b'\xef\x8e\xac'
5561,['32088'],27.E74C,,b'\xee\x9d\x8c'
5561,['56059'],27.E74D,,b'\xee\x9d\x8d'
5562,['11864'],27.6B60,歠,b'\xe6\xad\xa0'
5562,['5614'],27.5437,吷,b'\xe5\x90\xb7'
5563,['32119'],27.F62C,,b'\xef\x98\xac'
5563,['20931'],27.E74E,,b'\xee\x9d\x8e'
5563,['32119'],27.E74F,,b'\xee\x9d\x8f'
5564,['3191'],27.7FA8,羨,b'\xe7\xbe\xa8'
5565,['20217'],27.E750,,b'\xee\x9d\x90'
5566,['2721'],27.76DC,盜,b'\xe7\x9b\x9c'
5567,['5432'],27.65E1,旡,b'\xe6\x97\xa1'
5568,['29039'],27.E752,,b'\xee\x9d\x92'
5569,['29037'],27.E753,,b'\xee\x9d\x93'
5570,['1498'],27.9801,頁,b'\xe9\xa0\x81'
5571,['4422'],27.982D,頭,b'\xe9\xa0\xad'
5572,['4871'],27.984F,顏,b'\xe9\xa1\x8f'
5572,['4871'],27.E754,,b'\xee\x9d\x94'
5573,['3358'],27.980C,頌,b'\xe9\xa0\x8c'
5573,['55345'],27.E755,,b'\xee\x9d\x95'
5574,['55044'],27.E756,,b'\xee\x9d\x96'
5575,['5371'],27.9871,顱,b'\xe9\xa1\xb1'
5576,['55445'],27.E757,,b'\xee\x9d\x97'
5577,['5026'],27.985B,顛,b'\xe9\xa1\x9b'
5578,['2445'],27.9802,頂,b'\xe9\xa0\x82'
5578,['2445'],27.E758,,b'\xee\x9d\x98'
5578,['55385'],27.E759,,b'\xee\x9d\x99'
5579,['12066'],27.9859,顙,b'\xe9\xa1\x99'
5580,['4872'],27.984C,題,b'\xe9\xa1\x8c'
5581,['55168'],27.E75A,,b'\xee\x9d\x9a'
5582,['10353'],27.981E,頞,b'\xe9\xa0\x9e'
5582,['12842'],27.9F43,齃,b'\xe9\xbd\x83'
5583,['10923'],27.982F,頯,b'\xe9\xa0\xaf'
5584,['4418'],27.9830,頰,b'\xe9\xa0\xb0'
5584,['4418'],27.E75B,,b'\xee\x9d\x9b'
5585,['55177'],27.E75C,,b'\xee\x9d\x9c'
5586,['4122'],27.981C,頜,b'\xe9\xa0\x9c'
5587,['11374'],27.9844,顄,b'\xe9\xa1\x84'
5588,['4419'],27.9838,頸,b'\xe9\xa0\xb8'
5589,['3740'],27.9818,領,b'\xe9\xa0\x98'
5590,['2910'],27.9805,項,b'\xe9\xa0\x85'
5591,['55084'],27.E75D,,b'\xee\x9d\x9d'
5592,['55257'],27.E75E,,b'\xee\x9d\x9e'
5593,['55058'],27.E75F,,b'\xee\x9d\x9f'
5594,['12676'],27.9869,顩,b'\xe9\xa1\xa9'
5595,['55086'],27.E760,,b'\xee\x9d\xa0'
5596,['10922'],27.9835,頵,b'\xe9\xa0\xb5'
5597,['55326'],27.E761,,b'\xee\x9d\xa1'
5598,['55332'],27.E762,,b'\xee\x9d\xa2'
5599,['3568'],27.78A9,碩,b'\xe7\xa2\xa9'
5600,['3357'],27.9812,頒,b'\xe9\xa0\x92'
5601,['11754'],27.9852,顒,b'\xe9\xa1\x92'
5602,['55342'],27.E763,,b'\xee\x9d\xa3'
5603,['12067'],27.985D,顝,b'\xe9\xa1\x9d'
5604,['5025'],27.9858,願,b'\xe9\xa1\x98'
5605,['12517'],27.9864,顤,b'\xe9\xa1\xa4'
5606,['55351'],27.E764,,b'\xee\x9d\xa4'
5607,['55256'],27.E765,,b'\xee\x9d\xa5'
5608,['55198'],27.E766,,b'\xee\x9d\xa6'
5609,['55452'],27.E767,,b'\xee\x9d\xa7'
5610,['55301'],27.E768,,b'\xee\x9d\xa8'
5611,['3354'],27.9811,頑,b'\xe9\xa0\x91'
5612,['55240'],27.E769,,b'\xee\x9d\xa9'
5613,['4707'],27.9846,顆,b'\xe9\xa1\x86'
5614,['55156'],27.E76A,,b'\xee\x9d\xaa'
5615,['10924'],27.9832,頲,b'\xe9\xa0\xb2'
5616,['10358'],27.9820,頠,b'\xe9\xa0\xa0'
5617,['4421'],27.9837,頷,b'\xe9\xa0\xb7'
5618,['55298'],27.E76B,,b'\xee\x9d\xab'
5619,['9138'],27.980D,頍,b'\xe9\xa0\x8d'
5620,['55081'],27.E76D,,b'\xee\x9d\xad'
5621,['5203'],27.9867,顧,b'\xe9\xa1\xa7'
5622,['2911'],27.9806,順,b'\xe9\xa0\x86'
5623,['55115'],27.E76E,,b'\xee\x9d\xae'
5624,['55398'],27.E76F,,b'\xee\x9d\xaf'
5625,['4874'],27.9853,顓,b'\xe9\xa1\x93'
5626,['3356'],27.980A,頊,b'\xe9\xa0\x8a'
5627,['11376'],27.9849,顉,b'\xe9\xa1\x89'
5628,['3355'],27.9813,頓,b'\xe9\xa0\x93'
5629,['4121'],27.982B,頫,b'\xe9\xa0\xab'
5629,['6165'],27.4FDB,俛,b'\xe4\xbf\x9b'
5630,['55141'],27.E770,,b'\xee\x9d\xb0'
5631,['55396'],27.E771,,b'\xee\x9d\xb1'
5632,['4120'],27.9821,頡,b'\xe9\xa0\xa1'
5633,['55127'],27.E772,,b'\xee\x9d\xb2'
5634,['5204'],27.9865,顥,b'\xe9\xa1\xa5'
5635,['55440'],27.E773,,b'\xee\x9d\xb3'
5636,['55263'],27.E774,,b'\xee\x9d\xb4'
5637,['10357'],27.9828,頨,b'\xe9\xa0\xa8'
5638,['12068'],27.9857,顗,b'\xe9\xa1\x97'
5639,['11377'],27.9845,顅,b'\xe9\xa1\x85'
5640,['55253'],27.E775,,b'\xee\x9d\xb5'
5641,['55043'],27.E776,,b'\xee\x9d\xb6'
5642,['10359'],27.981B,頛,b'\xe9\xa0\x9b'
5643,['55258'],27.E777,,b'\xee\x9d\xb7'
5644,['55289'],27.E778,,b'\xee\x9d\xb8'
5645,['55328'],27.E779,,b'\xee\x9d\xb9'
5646,['3739'],27.9817,頗,b'\xe9\xa0\x97'
5647,['55059'],27.E77A,,b'\xee\x9d\xba'
5647,['1367'],27.75A3,疣,b'\xe7\x96\xa3'
5648,['5268'],27.986B,顫,b'\xe9\xa1\xab'
5649,['11753'],27.9851,顑,b'\xe9\xa1\x91'
5650,['12962'],27.9872,顲,b'\xe9\xa1\xb2'
5651,['3094'],27.7169,煩,b'\xe7\x85\xa9'
5652,['55369'],27.EDEE,,b'\xee\xb7\xae'
5653,['55173'],27.F4BE,,b'\xef\x92\xbe'
5654,['55388'],27.E77C,,b'\xee\x9d\xbc'
5655,['55268'],27.E77D,,b'\xee\x9d\xbd'
5656,['55265'],27.E77E,,b'\xee\x9d\xbe'
5657,['10355'],27.9826,頦,b'\xe9\xa0\xa6'
5658,['55236'],27.E77F,,b'\xee\x9d\xbf'
5659,['5401'],27.7C72,籲,b'\xe7\xb1\xb2'
5660,['5311'],27.986F,顯,b'\xe9\xa1\xaf'
5661,['55279'],27.F0CA,,b'\xef\x83\x8a'
5662,['3353'],27.9810,預,b'\xe9\xa0\x90'
5663,['44058'],27.F5D7,,b'\xef\x97\x97'
5664,['35013'],27.E780,,b'\xee\x9e\x80'
5665,['1493'],27.9762,面,b'\xe9\x9d\xa2'
5666,['4416'],27.9766,靦,b'\xe9\x9d\xa6'
5666,['55480'],27.E781,,b'\xee\x9e\x81'
5667,['55497'],27.E782,,b'\xee\x9e\x82'
5668,['55533'],27.E783,,b'\xee\x9e\x83'
5669,['5310'],27.9768,靨,b'\xe9\x9d\xa8'
5670,['5415'],27.4E0F,丏,b'\xe4\xb8\x8f'
5671,['1502'],27.9996,首,b'\xe9\xa6\x96'
5672,['56777'],27.E784,,b'\xee\x9e\x84'
5673,['56799'],27.E785,,b'\xee\x9e\x85'
5673,['8486'],27.5278,剸,b'\xe5\x89\xb8'
5674,['38493'],27.F3AD,,b'\xef\x8e\xad'
5675,['4306'],27.7E23,縣,b'\xe7\xb8\xa3'
5676,['2912'],27.9808,須,b'\xe9\xa0\x88'
5677,['55297'],27.E786,,b'\xee\x9e\x86'
5678,['55260'],27.E787,,b'\xee\x9e\x87'
5679,['55362'],27.E788,,b'\xee\x9e\x88'
5680,['55334'],27.E789,,b'\xee\x9e\x89'
5681,['26535'],27.F50B,,b'\xef\x94\x8b'
5682,['580'],27.5F62,形,b'\xe5\xbd\xa2'
5683,['20516'],27.F574,,b'\xef\x95\xb4'
5683,['12350'],27.9B12,鬒,b'\xe9\xac\x92'
5684,['1531'],27.4FEE,修,b'\xe4\xbf\xae'
5685,['3452'],27.5F70,彰,b'\xe5\xbd\xb0'
5686,['2088'],27.5F6B,彫,b'\xe5\xbd\xab'
5687,['52358'],27.E78A,,b'\xee\x9e\x8a'
5688,['26562'],27.F0C1,,b'\xef\x83\x81'
5689,['1629'],27.5F31,弱,b'\xe5\xbc\xb1'
5690,['2087'],27.5F69,彩,b'\xe5\xbd\xa9'
5691,['26542'],27.F3AE,,b'\xef\x8e\xae'
5692,['1221'],27.5F65,彥,b'\xe5\xbd\xa5'
5693,['132'],27.6587,文,b'\xe6\x96\x87'
5694,['2595'],27.6590,斐,b'\xe6\x96\x90'
5695,['52343'],27.E78B,,b'\xee\x9e\x8b'
5696,['35889'],27.E78C,,b'\xee\x9e\x8c'
5697,['7138'],27.9ADF,髟,b'\xe9\xab\x9f'
5698,['4137'],27.9AEE,髮,b'\xe9\xab\xae'
5698,['56771'],27.E78D,,b'\xee\x9e\x8d'
5698,['55074'],27.E78E,,b'\xee\x9e\x8e'
5699,['5350'],27.9B22,鬢,b'\xe9\xac\xa2'
5700,['12533'],27.9B17,鬗,b'\xe9\xac\x97'
5701,['57204'],27.E78F,,b'\xee\x9e\x8f'
5702,['57146'],27.E790,,b'\xee\x9e\x90'
5703,['11771'],27.9B08,鬈,b'\xe9\xac\x88'
5704,['3750'],27.9AE6,髦,b'\xe9\xab\xa6'
5705,['57216'],27.E791,,b'\xee\x9e\x91'
5706,['57088'],27.E792,,b'\xee\x9e\x92'
5707,['57203'],27.E793,,b'\xee\x9e\x93'
5708,['57092'],27.E794,,b'\xee\x9e\x94'
5709,['57126'],27.E795,,b'\xee\x9e\x95'
5709,['10384'],27.9AF3,髳,b'\xe9\xab\xb3'
5710,['12092'],27.9B0B,鬋,b'\xe9\xac\x8b'
5711,['12351'],27.9B11,鬑,b'\xe9\xac\x91'
5712,['57212'],27.E796,,b'\xee\x9e\x96'
5713,['11772'],27.9B04,鬄,b'\xe9\xac\x84'
5713,['56973'],27.E797,,b'\xee\x9e\x97'
5714,['10385'],27.9AF2,髲,b'\xe9\xab\xb2'
5715,['57039'],27.E798,,b'\xee\x9e\x98'
5716,['10944'],27.9AFA,髺,b'\xe9\xab\xba'
5717,['57137'],27.E799,,b'\xee\x9e\x99'
5718,['57014'],27.E79A,,b'\xee\x9e\x9a'
5719,['12532'],27.9B15,鬕,b'\xe9\xac\x95'
5720,['57177'],27.E79B,,b'\xee\x9e\x9b'
5721,['56988'],27.E79C,,b'\xee\x9e\x9c'
5722,['5374'],27.9B23,鬣,b'\xe9\xac\xa3'
5722,['34505'],27.E79D,,b'\xee\x9e\x9d'
5722,['49012'],27.E79E,,b'\xee\x9e\x9e'
5723,['57221'],27.E79F,,b'\xee\x9e\x9f'
5724,['57021'],27.E7A0,,b'\xee\x9e\xa0'
5725,['10943'],27.9AF6,髶,b'\xe9\xab\xb6'
5726,['12095'],27.9B0C,鬌,b'\xe9\xac\x8c'
5727,['12093'],27.9B0A,鬊,b'\xe9\xac\x8a'
5728,['57185'],27.E7A1,,b'\xee\x9e\xa1'
5729,['57133'],27.E7A2,,b'\xee\x9e\xa2'
5730,['3366'],27.9AE1,髡,b'\xe9\xab\xa1'
5730,['3366'],27.E7A3,,b'\xee\x9e\xa3'
5731,['57067'],27.E7A4,,b'\xee\x9e\xa4'
5732,['57121'],27.E7A5,,b'\xee\x9e\xa5'
5733,['57097'],27.E7A6,,b'\xee\x9e\xa6'
5734,['11406'],27.9AFD,髽,b'\xe9\xab\xbd'
5735,['12349'],27.9B10,鬐,b'\xe9\xac\x90'
5736,['10383'],27.9AEB,髫,b'\xe9\xab\xab'
5737,['4436'],27.9AFB,髻,b'\xe9\xab\xbb'
5738,['12802'],27.9B1F,鬟,b'\xe9\xac\x9f'
5739,['341'],27.540E,后,b'\xe5\x90\x8e'
5740,['24142'],27.E7A7,,b'\xee\x9e\xa7'
5741,['207'],27.53F8,司,b'\xe5\x8f\xb8'
5742,['2824'],27.8A5E,詞,b'\xe8\xa9\x9e'
5743,['20180'],27.F493,,b'\xef\x92\x93'
5744,['23458'],27.E7A8,,b'\xee\x9e\xa8'
5745,['41850'],27.E7A9,,b'\xee\x9e\xa9'
5746,['21830'],27.F4F4,,b'\xef\x93\xb4'
5747,['173'],27.4EE4,令,b'\xe4\xbb\xa4'
5748,['21836'],27.E7AA,,b'\xee\x9e\xaa'
5749,['21842'],27.E7AB,,b'\xee\x9e\xab'
5750,['21839'],27.E7AC,,b'\xee\x9e\xac'
5751,['5610'],27.5372,卲,b'\xe5\x8d\xb2'
5752,['107'],27.5384,厄,b'\xe5\x8e\x84'
5753,['21852'],27.F12F,,b'\xef\x84\xaf'
5754,['778'],27.5377,卷,b'\xe5\x8d\xb7'
5755,['1147'],27.537B,卻,b'\xe5\x8d\xbb'
5756,['779'],27.5378,卸,b'\xe5\x8d\xb8'
5757,['21834'],27.F07A,,b'\xef\x81\xba'
5758,['19793'],27.F298,,b'\xef\x8a\x98'
5759,['327'],27.5370,印,b'\xe5\x8d\xb0'
5760,['27350'],27.F05D,,b'\xef\x81\x9d'
5760,['611'],27.6291,抑,b'\xe6\x8a\x91'
5761,['443'],27.8272,色,b'\xe8\x89\xb2'
5761,['26591'],27.E7AD,,b'\xee\x9e\xad'
5762,['7624'],27.8274,艴,b'\xe8\x89\xb4'
5763,['8255'],27.8275,艵,b'\xe8\x89\xb5'
5764,['21833'],27.F090,,b'\xef\x82\x90'
5765,['1551'],27.537F,卿,b'\xe5\x8d\xbf'
5766,['3298'],27.8F9F,辟,b'\xe8\xbe\x9f'
5767,['52336'],27.E7AE,,b'\xee\x9e\xae'
5768,['52324'],27.E7AF,,b'\xee\x9e\xaf'
5769,['21327'],27.F4F1,,b'\xef\x93\xb1'
5770,['21380'],27.E7B0,,b'\xee\x9e\xb0'
5771,['1145'],27.530D,匍,b'\xe5\x8c\x8d'
5772,['1990'],27.5310,匐,b'\xe5\x8c\x90'
5773,['5832'],27.530A,匊,b'\xe5\x8c\x8a'
5774,['98'],27.52FB,勻,b'\xe5\x8b\xbb'
5775,['5424'],27.52FC,勼,b'\xe5\x8b\xbc'
5776,['392'],27.65EC,旬,b'\xe6\x97\xac'
5776,['392'],27.E7B1,,b'\xee\x9e\xb1'
5777,['21328'],27.E7B2,,b'\xee\x9e\xb2'
5778,['324'],27.5308,匈,b'\xe5\x8c\x88'
5778,['34870'],27.E7B3,,b'\xee\x9e\xb3'
5779,['21343'],27.E7B4,,b'\xee\x9e\xb4'
5780,['21344'],27.E7B5,,b'\xee\x9e\xb5'
5781,['21374'],27.E7B6,,b'\xee\x9e\xb6'
5782,['21376'],27.F037,,b'\xef\x80\xb7'
5782,['21366'],27.E7B7,,b'\xee\x9e\xb7'
5783,['1540'],27.51A2,冢,b'\xe5\x86\xa2'
5784,['187'],27.5305,包,b'\xe5\x8c\x85'
5785,['1427'],27.80DE,胞,b'\xe8\x83\x9e'
5786,['1991'],27.530F,匏,b'\xe5\x8c\x8f'
5787,['6188'],27.830D,茍,b'\xe8\x8c\x8d'
5787,['6188'],27.E7B8,,b'\xee\x9e\xb8'
5788,['3033'],27.656C,敬,b'\xe6\x95\xac'
5789,['1960'],27.9B3C,鬼,b'\xe9\xac\xbc'
5789,['55858'],27.E7B9,,b'\xee\x9e\xb9'
5790,['55867'],27.E7BA,,b'\xee\x9e\xba'
5791,['3752'],27.9B42,魂,b'\xe9\xad\x82'
5792,['4141'],27.9B44,魄,b'\xe9\xad\x84'
5793,['55870'],27.E7BB,,b'\xee\x9e\xbb'
5794,['12694'],27.9B56,魖,b'\xe9\xad\x96'
5795,['10388'],27.9B43,魃,b'\xe9\xad\x83'
5796,['55832'],27.F105,,b'\xef\x84\x85'
5796,['4140'],27.9B45,魅,b'\xe9\xad\x85'
5796,['55832'],27.F032,,b'\xef\x80\xb2'
5796,['55832'],27.E7BC,,b'\xee\x9e\xbc'
5797,['9764'],27.9B3E,鬾,b'\xe9\xac\xbe'
5798,['55930'],27.E7BD,,b'\xee\x9e\xbd'
5799,['12695'],27.9B55,魕,b'\xe9\xad\x95'
5800,['55993'],27.E7BE,,b'\xee\x9e\xbe'
5801,['55847'],27.E7BF,,b'\xee\x9e\xbf'
5802,['55960'],27.E7C0,,b'\xee\x9f\x80'
5803,['55997'],27.E7C1,,b'\xee\x9f\x81'
5804,['4680'],27.919C,醜,b'\xe9\x86\x9c'
5805,['11778'],27.9B4B,魋,b'\xe9\xad\x8b'
5806,['5212'],27.9B51,魑,b'\xe9\xad\x91'
5807,['5211'],27.9B54,魔,b'\xe9\xad\x94'
5808,['5351'],27.9B58,魘,b'\xe9\xad\x98'
5809,['39024'],27.F47F,,b'\xef\x91\xbf'
5810,['1359'],27.754F,畏,b'\xe7\x95\x8f'
5810,['1359'],27.E7C2,,b'\xee\x9f\x82'
5811,['1394'],27.79BA,禺,b'\xe7\xa6\xba'
5812,['22438'],27.F4D8,,b'\xef\x93\x98'
5813,['4297'],27.7BE1,篡,b'\xe7\xaf\xa1'
5814,['22488'],27.E7C3,,b'\xee\x9f\x83'
