楷書編號(網址),小篆編號,筆畫
436,2213,6
436,2213,6
19909,2215,6
419,2221,6
419,2221,6
425,2231,6
424,2321,6
316,2484,6
28585,2489,6
22461,2492,6
22461,2492,6
22461,2492,6
22535,2504,6
142,2518,6
142,2518,6
30552,2536,6
397,2536,6
403,2550,6
403,2550,6
20474,2554,6
432,2582,6
434,2586,6
433,2609,6
34806,2635,6
34807,2682,6
34809,2720,6
34809,2720,6
5494,2749,6
318,2758,6
322,2776,6
5493,2780,6
319,2787,6
321,2794,6
21882,2801,6
429,2806,6
420,2852,6
5544,2925,6
20317,2926,6
759,3001,6
759,3001,6
759,3001,6
759,3001,6
54,3012,6
54,3012,6
378,3013,6
5,3032,6
5,3032,6
5,3032,6
391,3055,6
391,3055,6
5574,3091,6
446,3150,6
1103,3171,6
1103,3171,6
21886,3176,6
339,3252,6
1536,3260,6
1536,3260,6
314,3266,6
423,3268,6
690,3322,6
690,3322,6
690,3322,6
690,3322,6
440,3360,6
26676,3387,6
29053,3472,6
5547,3531,6
399,3544,6
398,3553,6
400,3565,6
5546,3572,6
5545,3592,6
20318,3685,6
5543,3780,6
300,3797,6
289,3798,6
22539,3839,6
345,3894,6
345,3894,6
344,3904,6
50096,4012,6
5576,4024,6
5578,4029,6
5580,4077,6
5579,4105,6
5577,4121,6
50097,4157,6
390,4171,6
393,4181,6
31592,4208,6
35898,4259,6
396,4299,6
354,4313,6
355,4315,6
355,4315,6
5548,4334,6
377,4419,6
421,4453,6
438,4497,6
311,4504,6
23842,4514,6
369,4534,6
369,4534,6
337,4537,6
367,4543,6
370,4555,6
1608,4566,6
1608,4566,6
368,4573,6
27037,4590,6
5567,4630,6
331,4778,6
22712,4779,6
5568,4789,6
5568,4789,6
5575,4826,6
25194,4835,6
308,4928,6
308,4928,6
309,4939,6
294,4940,6
302,4942,6
296,4943,6
296,4943,6
20585,4946,6
5481,4947,6
307,4957,6
5442,4976,6
293,4994,6
305,5037,6
298,5042,6
304,5062,6
5482,5080,6
5475,5105,6
301,5136,6
299,5140,6
306,5149,6
303,5168,6
30029,5194,6
442,5199,6
376,5202,6
144,5203,6
144,5203,6
161,5207,6
20569,5210,6
19947,5226,6
448,5228,6
426,5349,6
427,5357,6
27414,5387,6
441,5410,6
44163,5421,6
21424,5440,6
313,5442,6
401,5556,6
401,5556,6
5432,5567,6
341,5739,6
21836,5748,6
327,5759,6
27350,5760,6
443,5761,6
392,5776,6
392,5776,6
324,5778,6
39024,5809,6
5519,5833,6
5521,5882,6
86,5967,6
86,5967,6
5514,5975,6
328,5976,6
428,6043,6
5562,6091,6
5043,6252,6
5043,6252,6
5043,6252,6
416,6414,6
310,6475,6
310,6475,6
310,6475,6
527,6543,6
527,6543,6
357,6566,6
356,6579,6
291,6580,6
290,6590,6
5517,6600,6
23709,6603,6
5503,6663,6
5503,6663,6
36667,6764,6
36650,6847,6
36668,6895,6
36649,6928,6
381,6937,6
408,6953,6
405,6981,6
32082,7077,6
32077,7088,6
32073,7090,6
415,7125,6
5558,7156,6
5554,7211,6
411,7232,6
32080,7252,6
32049,7257,6
407,7310,6
5555,7329,6
413,7386,6
406,7395,6
414,7412,6
5522,7443,6
28614,7446,6
374,7450,6
374,7450,6
20172,7457,6
317,7469,6
180,7476,6
180,7476,6
437,7666,6
437,7666,6
449,7672,6
449,7672,6
449,7672,6
430,7752,6
387,7922,6
33450,7943,6
5533,7998,6
5539,8010,6
5532,8024,6
5531,8044,6
386,8047,6
5509,8080,6
364,8082,6
360,8089,6
27945,8120,6
5508,8136,6
27950,8138,6
361,8147,6
363,8201,6
358,8240,6
359,8296,6
5511,8303,6
35515,8325,6
382,8332,6
384,8338,6
30773,8349,6
326,8381,6
325,8383,6
394,8399,6
394,8399,6
6080,8402,6
6080,8402,6
27616,8449,6
379,8452,6
27623,8458,6
27625,8461,6
422,8471,6
422,8471,6
180,8544,6
445,8739,6
23803,8966,6
289,8968,6
19832,8969,6
348,8973,6
5505,8999,6
349,9019,6
32078,9039,6
5504,9063,6
350,9099,6
352,9100,6
323,9186,6
5496,9207,6
31588,9210,6
5523,9415,6
19946,9565,6
5582,9601,6
5581,9613,6
5583,9660,6
450,9661,6
22457,9666,6
218,9669,6
218,9669,6
385,9698,6
385,9698,6
45,9715,6
45,9715,6
45,9715,6
365,9718,6
61440,9723,6
366,9727,6
28619,9736,6
707,9744,6
707,9744,6
395,9754,6
383,9830,6
292,9831,6
292,9831,6
330,5,7
1672,8,7
1672,8,7
1672,8,7
5760,92,7
669,162,7
5757,182,7
5758,190,7
5756,199,7
28669,214,7
541,228,7
67,231,7
67,231,7
67,231,7
35901,232,7
632,235,7
1071,237,7
1071,237,7
27896,238,7
27896,238,7
5778,254,7
692,270,7
5776,284,7
5781,289,7
6120,299,7
5773,405,7
693,445,7
691,513,7
5780,519,7
607,628,7
607,628,7
607,628,7
5777,660,7
5779,692,7
477,718,7
719,719,7
719,719,7
665,728,7
664,756,7
5748,769,7
513,777,7
515,783,7
501,787,7
517,807,7
524,814,7
516,826,7
514,828,7
502,836,7
511,838,7
511,838,7
526,850,7
24022,869,7
509,872,7
802,876,7
802,876,7
340,887,7
24017,895,7
525,920,7
5615,929,7
499,931,7
503,933,7
24013,941,7
24013,941,7
520,943,7
563,957,7
522,968,7
702,978,7
50661,1016,7
631,1080,7
50635,1091,7
712,1096,7
1630,1098,7
710,1121,7
26257,1134,7
1085,1140,7
1085,1140,7
709,1155,7
50651,1162,7
50643,1189,7
708,1201,7
711,1215,7
5674,1233,7
26259,1248,7
26264,1255,7
576,1260,7
22639,1263,7
703,1325,7
51123,1443,7
23989,1447,7
215,1450,7
696,1470,7
577,1754,7
23472,1757,7
591,1758,7
484,1759,7
484,1759,7
484,1759,7
3628,1772,7
3628,1772,7
43976,1774,7
20588,1835,7
557,1871,7
557,1871,7
22681,1878,7
30800,1880,7
20148,1881,7
22518,1915,7
131,1925,7
131,1925,7
582,1964,7
27423,1983,7
31261,1997,7
556,2003,7
613,2009,7
617,2011,7
615,2024,7
615,2024,7
31265,2025,7
614,2042,7
31266,2054,7
20414,2070,7
671,2073,7
38416,2144,7
38420,2180,7
436,2213,7
436,2213,7
45433,2316,7
20108,2479,7
2187,2482,7
2187,2482,7
2187,2482,7
23417,2511,7
30557,2513,7
30552,2536,7
403,2550,7
403,2550,7
487,2555,7
684,2592,7
685,2596,7
686,2617,7
683,2632,7
5771,2649,7
5769,2718,7
34809,2720,7
34809,2720,7
34825,2729,7
21930,2734,7
489,2738,7
489,2738,7
20605,2743,7
488,2755,7
490,2761,7
5603,2777,7
769,2782,7
769,2782,7
21923,2783,7
695,2813,7
759,3001,7
759,3001,7
759,3001,7
759,3001,7
50650,3004,7
571,3018,7
1357,3024,7
1357,3024,7
5984,3028,7
5984,3028,7
20423,3033,7
20423,3033,7
5762,3036,7
391,3055,7
391,3055,7
698,3078,7
698,3078,7
579,3170,7
723,3175,7
40052,3178,7
