字體編號,楷書字體編號,楷書字型
27.E073,5.E890,𧆐
27.85D1,0.85D1,藑
27.E074,5.E6AF,䔰
27.844D,0.844D,葍
27.84E8,0.84E8,蓨
27.82D6,0.82D6,苖
27.F0EC,0.F0EC,𦳝
27.8581,0.8581,薁
27.8474,0.8474,葴
27.E075,5.E79E,𧀦
27.84FE,0.84FE,蓾
27.F0EB,0.F0EB,𦳋
27.851E,0.851E,蔞
27.85DF,0.85DF,藟
27.84AC,0.84AC,蒬
27.8308,0.8308,茈
27.E076,5.E7D9,𧂀
27.8434,0.8434,萴
27.8490,0.8490,蒐
27.831C,0.831C,茜
27.857C,0.857C,蕼
27.859C,0.859C,薜
27.83A3,0.83A3,莣
27.82DE,0.82DE,苞
27.827E,0.827E,艾
27.E078,5.E626,蔁
27.82B9,0.82B9,芹
27.85BD,0.85BD,薽
27.8526,0.8526,蔦
27.E079,2.EE2B,樢
27.82B8,0.82B8,芸
27.E07A,5.E678,䔴
27.844E,0.844E,葎
27.8326,0.8326,茦
27.E07B,5.E3A3,䒷
27.8451,0.8451,葑
27.85BA,0.85BA,薺
27.83BF,0.83BF,莿
27.856B,0.856B,蕫
27.863B,0.863B,蘻
27.E07C,5.E6BA,䕅
27.8290,0.8290,芐
27.859F,0.859F,薟
27.861E,0.861E,蘞
27.83F3,0.83F3,菳
27.82A9,0.82A9,芩
27.85E8,0.85E8,藨
27.E07D,5.E847,𧅖
27.8506,0.8506,蔆
27.E07E,5.E7E7,𧁽
27.82B0,0.82B0,芰
27.8324,0.8324,茤
27.85A2,0.85A2,薢
27.8329,0.8329,茩
27.82A1,0.82A1,芡
27.E07F,5.E7B7,䕮
27.E080,5.E562,𦶗
27.8625,0.8625,蘥
27.85D7,0.85D7,藗
27.E081,5.E411,𦮺
27.84B9,0.84B9,蒹
27.858D,0.858D,薍
27.E082,5.E5AC,𦵹
27.83FC,0.83FC,菼
27.8595,0.8595,薕
27.85A0,0.85A0,薠
27.E083,5.E344,䒢
27.E084,5.E392,䓉
27.8280,0.8280,芀
27.8322,0.8322,茢
27.83E1,0.83E1,菡
27.E085,5.E7F2,𧂄
27.84EE,0.84EE,蓮
27.8304,0.8304,茄
27.8377,0.8377,荷
27.8524,0.8524,蔤
27.8545,0.8545,蕅
27.8622,0.8622,蘢
27.84CD,0.84CD,蓍
27.83E3,0.83E3,菣
27.E086,5.E5E5,𦸃
27.83AA,0.83AA,莪
27.863F,0.863F,蘿
27.83FB,0.83FB,菻
27.851A,0.851A,蔚
27.856D,0.856D,蕭
27.8429,0.8429,萩
27.828D,0.828D,芍
27.E087,5.E6AA,𦺍
27.848D,0.848D,蒍
27.E088,5.E347,䒞
27.861C,0.861C,蘜
27.8620,0.8620,蘠
27.E089,5.E341,芪
27.83C0,0.83C0,菀
27.8394,0.8394,莔
27.E08A,5.E351,𦬸
27.84C2,0.84C2,蓂
27.83CB,0.83CB,菋
27.834E,0.834E,荎
27.85F8,0.85F8,藸
27.845B,0.845B,葛
27.8513,0.8513,蔓
27.E08B,5.E58F,䔌
27.8395,0.8395,莕
27.8347,0.8347,荇
27.83E8,0.83E8,菨
27.E08C,5.E804,𧃣
27.82AB,0.82AB,芫
27.8626,0.8626,蘦
