小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
3738,['6795'],27.681D,栝,b'\xe6\xa0\x9d',一入口屮｛,一十口木
3739,['3880'],27.69FD,槽,b'\xe6\xa7\xbd',一一口囗囗屮屮屮｛｛｛♀,木日
3740,['1859'],27.81EC,臬,b'\xe8\x87\xac',屮自｛,木自
3741,['2181'],27.6876,桶,b'\xe6\xa1\xb6',卜口屮｛,一木用
3742,['4918'],27.6AD3,櫓,b'\xe6\xab\x93',櫓 = 工屮魚｛,木日魚
3742,['29605'],27.E520,,b'\xee\x94\xa0',,人人食
3743,['3885'],27.6A02,樂,b'\xe6\xa8\x82',樂,木白
3744,['6363'],27.67CE,柎,b'\xe6\x9f\x8e',一人又屮｛,人寸木
3745,['6362'],27.67B9,枹,b'\xe6\x9e\xb9',屮包｛,己木
3746,['7986'],27.690C,椌,b'\xe6\xa4\x8c',八工屮｛,工木穴
3747,['6357'],27.67F7,柷,b'\xe6\x9f\xb7',柷 = 人口屮、｛,儿口木
3748,['9922'],27.69E7,槧,b'\xe6\xa7\xa7',屮斤車｛,木斤車
3749,['250'],27.672D,札,b'\xe6\x9c\xad',乙屮｛,乙木
3750,['4502'],27.6AA2,檢,b'\xe6\xaa\xa2',一人人入口口屮｛,一人人人口口木
3751,['4501'],27.6A84,檄,b'\xe6\xaa\x84',一一卜入又屮方｛,木方白
3752,['8017'],27.68E8,棨,b'\xe6\xa3\xa8',卜又口屮戶｛,木戶
3753,['8674'],27.6958,楘,b'\xe6\xa5\x98',卜又屮矛｛,木矛
3754,['6000'],27.6791,枑,b'\xe6\x9e\x91',屮互｛,木互
3755,['7366'],27.6890,梐,b'\xe6\xa2\x90',人人土屮阜｛,土木比
3756,['6004'],27.6781,极,b'\xe6\x9e\x81',人又屮｛,木及
3757,['29138'],27.E521,,b'\xee\x94\xa1',,大而食
3758,['29512'],27.E522,,b'\xee\x94\xa2',一入包車,車食
3759,['4506'],27.6A7E,橾,b'\xe6\xa9\xbe',口口口屮屮｛｛,口口口木木
3760,['29442'],27.E523,,b'\xee\x94\xa3',一十入口肉,十口月食
3761,['29123'],27.E524,,b'\xee\x94\xa4',,玉白食
3762,['8023'],27.68DD,棝,b'\xe6\xa3\x9d',十口囗屮｛,十口囗木
3763,['12925'],27.6B19,欙,b'\xe6\xac\x99',屮糸｛畾,木田田田糸
3764,['3492'],27.69B7,榷,b'\xe6\xa6\xb7',屮隹｛,木
3765,['4229'],27.6A4B,橋,b'\xe6\xa9\x8b',大囗屮｛↘☆,一大口口木
3766,['2175'],27.6881,梁,b'\xe6\xa2\x81',一屮刃水｛,一一刀木水
3766,['2175'],27.E525,,b'\xee\x94\xa5',,人歹食
3767,['29535'],27.E526,,b'\xee\x94\xa6',,豕食
3768,['29751'],27.E527,,b'\xee\x94\xa7',一入彳彳水,水行食
3769,['3056'],27.696B,楫,b'\xe6\xa5\xab',口屮耳｛,口木耳
3770,['12927'],27.6B1A,欚,b'\xe6\xac\x9a',屮虫虫豕｛,木虫虫豕
3771,['1686'],27.6821,校,b'\xe6\xa0\xa1',大屮｛★,木父
3772,['9920'],27.6A14,樔,b'\xe6\xa8\x94',屮屮｛｛︻,川木果
3773,['1091'],27.91C7,采,b'\xe9\x87\x87',屮爪｛,木爪
3774,['29083'],27.E528,,b'\xee\x94\xa8',一厂人入入↙,一人矢食
3775,['4223'],27.6A6B,橫,b'\xe6\xa9\xab',屮田｛,木黃
3776,['7367'],27.689C,梜,b'\xe6\xa2\x9c',人人大屮｛,人人大木
3777,['6793'],27.6844,桄,b'\xe6\xa1\x84',人屮火｛,儿木火
3778,['11051'],27.6A87,檇,b'\xe6\xaa\x87',屮弓隹｛,弓木隹
3779,['8000'],27.6913,椓,b'\xe6\xa4\x93',屮豕｛‵,木豖
3780,['5543'],27.673E,朾,b'\xe6\x9c\xbe',丁屮｛,一木
3781,['6364'],27.67E7,柧,b'\xe6\x9f\xa7',屮瓜｛,木瓜
3782,['7993'],27.68F1,棱,b'\xe6\xa3\xb1',入八屮屮｛,儿土木
3783,['30005'],27.EDF7,,b'\xee\xb7\xb7',屮犬虍鬲｛,木犬虍鬲
3783,['12177'],27.6AF1,櫱,b'\xe6\xab\xb1',櫱 = 一一入屮屮｛,一屮木辛
3783,['30005'],27.E529,,b'\xee\x94\xa9',一人入入口♀,人日食
3783,['29369'],27.E52A,,b'\xee\x94\xaa',,一一一日食
3784,['1298'],27.67B0,枰,b'\xe6\x9e\xb0',一八屮｛,儿干木
3785,['6368'],27.67C6,柆,b'\xe6\x9f\x86',一屮｛,木立
3786,['9328'],27.69CE,槎,b'\xe6\xa7\x8e',工屮｛,一工木羊
3787,['6359'],27.67EE,柮,b'\xe6\x9f\xae',屮出｛,凵屮木
3788,['4751'],27.6AAE,檮,b'\xe6\xaa\xae',屮｛,一工土寸口木
3789,['961'],27.6790,析,b'\xe6\x9e\x90',屮斤｛,木斤
3790,['7996'],27.68F7,棷,b'\xe6\xa3\xb7',又屮耳｛,又木耳
3791,['2195'],27.68A1,梡,b'\xe6\xa2\xa1',一一儿屮｛,二儿木
3792,['29529'],27.E52B,,b'\xee\x94\xab',,
3793,['8672'],27.6944,楄,b'\xe6\xa5\x84',屮戶冊｛,木戶冊
3794,['8652'],27.6945,楅,b'\xe6\xa5\x85',囗屮｛︴↘,一口木田
3795,['29139'],27.F5C2,,b'\xef\x97\x82',屮世｛,木世
3796,['9908'],27.69F1,槱,b'\xe6\xa7\xb1',屮火酉｛,木火酉
3796,['37733'],27.E52C,,b'\xee\x94\xac',,一人田食
3797,['300'],27.4F11,休,b'\xe4\xbc\x91',人屮｛,人木
3797,['6275'],27.5EA5,庥,b'\xe5\xba\xa5',▅,人木
3798,['29481'],27.E52D,,b'\xee\x94\xad',,
3798,['289'],27.4E99,亙,b'\xe4\xba\x99',亙,二月
3799,['2185'],27.68B0,械,b'\xe6\xa2\xb0',又屮﹍｛﹌,廾木戈
3800,['6003'],27.677D,杽,b'\xe6\x9d\xbd',屮手｛,木手
3801,['6792'],27.684E,桎,b'\xe6\xa1\x8e',屮至｛,木至
3802,['7380'],27.688F,梏,b'\xe6\xa2\x8f',口屮牛｛,口木牛
3803,['12174'],27.6AEA,櫪,b'\xe6\xab\xaa',厂屮屮屮止｛｛｛,厂木止禾禾
3804,['29666'],27.E52F,,b'\xee\x94\xaf',,
3805,['4748'],27.6ABB,檻,b'\xe6\xaa\xbb',一人人屮皿臣臼｛,一人木皿臣
3806,['12172'],27.6AF3,櫳,b'\xe6\xab\xb3',一一一十人入囗屮屮肉｛｛￣,木龍
3807,['1299'],27.67D9,柙,b'\xe6\x9f\x99',屮甲｛,木甲
3807,['1299'],28.67D9,柙,b'\xe6\x9f\x99',屮甲｛,木甲
3808,['2610'],27.68FA,棺,b'\xe6\xa3\xba',屮｛,木
3809,['5065'],27.6AEC,櫬,b'\xe6\xab\xac',櫬 = 一一儿入屮屮目｛｛,木木立見
3810,['9905'],27.69E5,槥,b'\xe6\xa7\xa5',又土土屮屮屮｛,又木丰丰
3811,['29376'],27.E530,,b'\xee\x94\xb0',,
3812,['8662'],27.696C,楬,b'\xe6\xa5\xac',人入口屮｛♀,人木日
3813,['2194'],27.689F,梟,b'\xe6\xa2\x9f',屮｛∣,木
3814,['8014'],27.68D0,棐,b'\xe6\xa3\x90',屮非｛,木非
3815,['2191'],27.6894,梔,b'\xe6\xa2\x94',屮｛’,一厂木巴
3816,['3498'],27.69AD,榭,b'\xe6\xa6\xad',人入屮｛』↙,寸木身
3817,['9347'],27.69CA,槊,b'\xe6\xa7\x8a',一入屮屮月｛,屮木月艸
3818,['8647'],27.6938,椸,b'\xe6\xa4\xb8',屮屮也｛︽,人也木方
3819,['3493'],27.69BB,榻,b'\xe6\xa6\xbb',一一一屮羽｛〈,二木羽
3820,['11862'],27.6ACD,櫍,b'\xe6\xab\x8d',屮斤斤貝｛,木斤斤貝
3821,['4750'],27.6AC2,櫂,b'\xe6\xab\x82',屮羽隹｛,木羽隹
3822,['9345'],27.69D4,槔,b'\xe6\xa7\x94',一一十入大屮｛,十大木白
3823,['3877'],27.6A01,樁,b'\xe6\xa8\x81',又屮屮午臼｛｛,木臼
3824,['5156'],27.6AFB,櫻,b'\xe6\xab\xbb',屮女貝貝｛,女木貝貝
3825,['6787'],27.681C,栜,b'\xe6\xa0\x9c',屮朿竹｛,木朿
3826,['949'],27.6771,東,b'\xe6\x9d\xb1',一囗屮｛,東
3827,['29684'],27.F12C,,b'\xef\x84\xac',一一囗囗屮屮｛｛,東東
3828,['955'],27.6797,林,b'\xe6\x9e\x97',屮屮｛｛,木木
3829,['2682'],27.7121,無,b'\xe7\x84\xa1',屮屮｛｛,一人火卌
3830,['5398'],27.9B31,鬱,b'\xe9\xac\xb1',一人凵屮屮爪爪缶｛｛〈↖,木木缶鬯
3831,['3047'],27.695A,楚,b'\xe6\xa5\x9a',屮屮止︰｛｛,木木疋
3832,['8015'],27.68FD,棽,b'\xe6\xa3\xbd',一入屮屮｛｛,一人木木
3833,['8657'],27.6959,楙,b'\xe6\xa5\x99',屮屮矛｛｛,木木矛
3834,['5044'],27.9E93,麓,b'\xe9\xba\x93',人屮屮Ξ｛｛,木木鹿
3834,['29683'],27.E531,,b'\xee\x94\xb1',,寸甫食
3835,['8016'],27.68FC,棼,b'\xe6\xa3\xbc',八刀屮屮｛｛,儿刀木木
3836,['2618'],27.68EE,森,b'\xe6\xa3\xae',屮屮屮｛｛｛,木木木
3837,['2179'],27.68B5,梵,b'\xe6\xa2\xb5',梵,一儿木木
3838,['63'],27.624D,才,b'\xe6\x89\x8d',一,手
3839,['22539'],27.F11B,,b'\xef\x84\x9b',,又又又
3839,['22591'],27.E532,,b'\xee\x94\xb2',,
3840,['1698'],27.6851,桑,b'\xe6\xa1\x91',屮｛,又又又木
3841,['70'],27.4E4B,之,b'\xe4\xb9\x8b',之,之
3842,['22779'],27.F496,,b'\xef\x92\x96',土之,一土屮
3843,['25168'],27.F54F,,b'\xef\x95\x8f',之,一巾
3844,['1625'],27.5E2B,師,b'\xe5\xb8\xab',之,一一巾
3844,['1625'],27.E534,,b'\xee\x94\xb4',一人入“,食鬼
3845,['182'],27.51FA,出,b'\xe5\x87\xba',出,凵屮
3847,['4058'],27.8CE3,賣,b'\xe8\xb3\xa3',出貝︿,土网貝
3848,['12936'],27.7CF6,糶,b'\xe7\xb3\xb6',出米羽隹,凵屮米羽隹
3849,['44084'],27.E535,,b'\xee\x94\xb5',一入田,一匕刀田食
3850,['20036'],27.F479,,b'\xef\x91\xb9',八【,
3851,['23513'],27.E536,,b'\xee\x94\xb6',,又臼食
3852,['1823'],27.7D22,索,b'\xe7\xb4\xa2',八糸【,十糸
3853,['558'],27.5B5B,孛,b'\xe5\xad\x9b',八子【,十子
3854,['19936'],27.F637,,b'\xef\x98\xb7',一八【,
3855,['1146'],27.5357,南,b'\xe5\x8d\x97',一一入八【,十儿干
3855,['1146'],27.E537,,b'\xee\x94\xb7',,
3856,['265'],27.751F,生,b'\xe7\x94\x9f',土屮,生
3857,['68'],27.4E30,丰,b'\xe4\xb8\xb0',土屮】,丰
3858,['2264'],27.7522,產,b'\xe7\x94\xa2',厂土屮文,厂文生
3859,['2898'],27.9686,隆,b'\xe9\x9a\x86',土屮阜,一生邑
3860,['39425'],27.F0E7,,b'\xef\x83\xa7',土屮豕希,生豕
3861,['6909'],27.7521,甡,b'\xe7\x94\xa1',土土屮屮,生生
3862,['5409'],27.4E47,乇,b'\xe4\xb9\x87',乇,一匕
3863,['19970'],27.F484,,b'\xef\x92\x84',,人人人人人
3863,['21338'],27.E538,,b'\xee\x94\xb8',一一入大皿,土皿食
3864,['20978'],27.F3A3,,b'\xef\x8e\xa3',一,一人人人人人
3864,['7035'],27.8342,荂,b'\xe8\x8d\x82',一大屮屮,一大艸
3865,['12516'],27.97E1,韡,b'\xe9\x9f\xa1',一囗,艸韋
3866,['2788'],27.83EF,華,b'\xe8\x8f\xaf',一屮屮,艸
3867,['40131'],27.E539,,b'\xee\x94\xb9',,
3868,['39535'],27.F3A4,,b'\xef\x8e\xa4',,禾
3869,['39766'],27.E53A,,b'\xee\x94\xba',,大日艸食
3870,['39698'],27.E53B,,b'\xee\x94\xbb',,
3871,['3955'],27.7A3D,稽,b'\xe7\xa8\xbd',一乙人又口,一匕尢日禾
3872,['39918'],27.E53C,,b'\xee\x94\xbc',,二又网食
3873,['39919'],27.E53D,,b'\xee\x94\xbd',,
3874,['2073'],27.5DE2,巢,b'\xe5\xb7\xa2',屮｛︻,川果
3875,['23432'],27.E53F,,b'\xee\x94\xbf',,一丑羊食
3876,['7383'],27.687C,桼,b'\xe6\xa1\xbc',桼,人木水
3877,['57156'],27.E540,,b'\xee\x95\x80',一入土田,廿食
3878,['29722'],27.E541,,b'\xee\x95\x81',,
3879,['618'],27.675F,束,b'\xe6\x9d\x9f',囗屮｛,束
3880,['1283'],27.67EC,柬,b'\xe6\x9f\xac',八囗屮｛,儿束
3881,['22666'],27.E542,,b'\xee\x95\x82',一入貝,一中貝食
3882,['1138'],27.524C,剌,b'\xe5\x89\x8c',刀囗屮｛,刀束
3883,['29828'],27.F3A5,,b'\xef\x8e\xa5',囗囗屮豕｛,木豕
3884,['10537'],27.6A50,橐,b'\xe6\xa9\x90',厂囗囗屮豕｛〞,木石
3885,['5228'],27.56CA,囊,b'\xe5\x9b\x8a',工口口囗囗屮爻衣豕Σ｛,一人口口
3886,['11858'],27.6ADC,櫜,b'\xe6\xab\x9c',人口囗囗屮豕｛,人口木
3887,['29769'],27.F11A,,b'\xef\x84\x9a',囗囗屮包缶豕｛,木缶
3888,['5411'],27.56D7,囗,b'\xe5\x9b\x97',囗,囗
3889,['10433'],27.571C,圜,b'\xe5\x9c\x9c',囗屮目衣–,一一人口囗网
3890,['3406'],27.5718,團,b'\xe5\x9c\x98',一又囗屮–,寸囗
3891,['25093'],27.E543,,b'\xee\x95\x83',一入巽,儿己己食
3892,['25036'],27.E544,,b'\xee\x95\x84',,
3893,['2963'],27.5713,圓,b'\xe5\x9c\x93',囗囗貝,口囗貝
3894,['345'],27.56DE,回,b'\xe5\x9b\x9e',囗︼,口囗
3894,['345'],27.F075,,b'\xef\x81\xb5',,己
3895,['3407'],27.5716,圖,b'\xe5\x9c\x96',入囗囗﹏,口口囗囗
3896,['10434'],27.571B,圛,b'\xe5\x9c\x9b',一一入大囗目,儿干土囗网
3897,['2021'],27.570B,國,b'\xe5\x9c\x8b',一囗囗﹍﹌,一口囗戈
3898,['8529'],27.58FC,壼,b'\xe5\xa3\xbc',囗《,二土
3899,['5858'],27.56F7,囷,b'\xe5\x9b\xb7',囗屮｛,囗禾
3900,['2020'],27.5708,圈,b'\xe5\x9c\x88',又囗釆,儿囗夫
3901,['1172'],27.56FF,囿,b'\xe5\x9b\xbf',又囗月,又囗月
3901,['1172'],27.F159,,b'\xef\x85\x99',,木木木木田
3902,['2962'],27.5712,園,b'\xe5\x9c\x92',囗屮衣–,一人土口囗
3903,['1576'],27.5703,圃,b'\xe5\x9c\x83',卜又口囗﹔,囗甫
3904,['344'],27.56E0,因,b'\xe5\x9b\xa0',大囗,大囗
3905,['25019'],27.EF0F,,b'\xee\xbc\x8f',又囗,又囗
3906,['5859'],27.56F9,囹,b'\xe5\x9b\xb9',一入囗,一一人囗
3907,['1577'],27.5704,圄,b'\xe5\x9c\x84',一一口囗,口囗五
3908,['219'],27.56DA,囚,b'\xe5\x9b\x9a',人囗,人囗
3909,['806'],27.56FA,固,b'\xe5\x9b\xba',十口囗,十口囗
3910,['2500'],27.570D,圍,b'\xe5\x9c\x8d',囗囗,囗韋
3911,['528'],27.56F0,困,b'\xe5\x9b\xb0',囗屮｛,囗木
3911,['29096'],27.E546,,b'\xee\x95\x86',,
3912,['6667'],27.5702,圂,b'\xe5\x9c\x82',囗豕,囗豕
3913,['5628'],27.56EE,囮,b'\xe5\x9b\xae',人人囗,匕人囗
3913,['25164'],27.E547,,b'\xee\x95\x87',一一十入大口◆,土豆食
3914,['1567'],27.54E1,員,b'\xe5\x93\xa1',囗貝,口貝
3914,['1567'],27.F050,,b'\xef\x81\x90',囗鼎,口鼎
3915,['49154'],27.E548,,b'\xee\x95\x88',一人入﹍﹌,人戈食
3916,['700'],27.8C9D,貝,b'\xe8\xb2\x9d',貝,貝
3917,['49032'],27.F4A7,,b'\xef\x92\xa7',八貝,小貝
3918,['3279'],27.8CC4,賄,b'\xe8\xb3\x84',又月貝,又月貝
3919,['1914'],27.8CA1,財,b'\xe8\xb2\xa1',一貝,手貝
3920,['2394'],27.8CA8,貨,b'\xe8\xb2\xa8',人人貝,匕人貝
3921,['49286'],27.E549,,b'\xee\x95\x89',一一儿入土土土,一儿土土土食
3922,['3277'],27.8CC7,資,b'\xe8\xb3\x87',一一人貝﹜,二欠貝
3923,['49298'],27.E54A,,b'\xee\x95\x8a',,小口木食
3924,['3686'],27.8CD1,賑,b'\xe8\xb3\x91',一一乙厂人貝,辰貝
3925,['4057'],27.8CE2,賢,b'\xe8\xb3\xa2',又臣貝,又臣貝
3926,['2841'],27.8CC1,賁,b'\xe8\xb3\x81',屮屮屮貝,十廾貝
3927,['2843'],27.8CC0,賀,b'\xe8\xb3\x80',力口貝,力口貝
3928,['1915'],27.8CA2,貢,b'\xe8\xb2\xa2',工貝,工貝
3929,['4987'],27.8D0A,贊,b'\xe8\xb4\x8a',儿儿之之貝,儿儿牛牛貝
3930,['10823'],27.8CEE,賮,b'\xe8\xb3\xae',一又火貝「,火聿貝
3931,['12579'],27.9F4E,齎,b'\xe9\xbd\x8e',貝齊,貝齊
3932,['2848'],27.8CB8,貸,b'\xe8\xb2\xb8',人貝﹍,人弋貝
3933,['7100'],27.8CA3,貣,b'\xe8\xb2\xa3',貝﹍,弋貝
3934,['3282'],27.8CC2,賂,b'\xe8\xb3\x82',口貝,口貝
3935,['4659'],27.8CF8,賸,b'\xe8\xb3\xb8',貝朕,儿夫月貝
3936,['4986'],27.8D08,贈,b'\xe8\xb4\x88',八口貝♀,儿小囗日貝
3937,['49100'],27.E54B,,b'\xee\x95\x8b',一入囗川隹,邑隹食
3938,['5341'],27.8D1B,贛,b'\xe8\xb4\x9b',一一十入口貝,十工貝音
3938,['5341'],27.E54C,,b'\xee\x95\x8c',一入口虍←,儿口虍食
3939,['10250'],27.8CDA,賚,b'\xe8\xb3\x9a',貝來,人人木貝
3940,['4052'],27.8CDE,賞,b'\xe8\xb3\x9e',八口貝,小口貝
3941,['4059'],27.8CDC,賜,b'\xe8\xb3\x9c',貝易,一一日貝
3942,['7099'],27.8CA4,貤,b'\xe8\xb2\xa4',也貝,也貝
3943,['5112'],27.8D0F,贏,b'\xe8\xb4\x8f',貝,口月貝
3944,['4366'],27.8CF4,賴,b'\xe8\xb3\xb4',刀囗屮貝｛,刀束貝
3945,['1466'],27.8CA0,負,b'\xe8\xb2\xa0',人貝,人貝
3946,['2837'],27.8CAF,貯,b'\xe8\xb2\xaf',宁貝,一貝
3947,['2839'],27.8CB3,貳,b'\xe8\xb2\xb3',貝,二弋貝
3948,['3685'],27.8CD3,賓,b'\xe8\xb3\x93',丏貝,一止貝
3948,['3685'],27.E54D,,b'\xee\x95\x8d',一一入止止戊,一一戈止止食
3949,['3687'],27.8CD2,賒,b'\xe8\xb3\x92',一入八囗屮貝,人示貝
3950,['8364'],27.8CB0,貰,b'\xe8\xb2\xb0',世貝,世貝
3951,['4829'],27.8D05,贅,b'\xe8\xb4\x85',卜又方出貝,土方貝
3952,['4060'],27.8CEA,質,b'\xe8\xb3\xaa',斤斤貝,斤斤貝
3953,['2847'],27.8CBF,貿,b'\xe8\xb2\xbf',貝,一匕刀貝
3954,['5255'],27.8D16,贖,b'\xe8\xb4\x96',貝貝,土网貝貝
3955,['2842'],27.8CBB,費,b'\xe8\xb2\xbb',囗貝,弗貝
3956,['2392'],27.8CAC,責,b'\xe8\xb2\xac',朿貝,貝
3957,['3278'],27.8CC8,賈,b'\xe8\xb3\x88',貝﹀,襾貝
3958,['49196'],27.E54E,,b'\xee\x95\x8e',一入囗囗,一邑邑食
3959,['2391'],27.8CA9,販,b'\xe8\xb2\xa9',厂又貝,厂又貝
3960,['2845'],27.8CB7,買,b'\xe8\xb2\xb7',貝︿,网貝
3961,['4054'],27.8CE4,賤,b'\xe8\xb3\xa4',貝﹍﹍﹌﹌,戈戈貝
3962,['4053'],27.8CE6,賦,b'\xe8\xb3\xa6',止貝﹍﹌,戈止貝
3963,['2395'],27.8CAA,貪,b'\xe8\xb2\xaa',一入貝,一人貝
3964,['2846'],27.8CB6,貶,b'\xe8\xb2\xb6',一止貝,一之貝
3965,['2396'],27.8CA7,貧,b'\xe8\xb2\xa7',八刀貝,儿刀貝
3965,['27049'],27.E54F,,b'\xee\x95\x8f',一一一入入囗﹏,一口囗日食
3966,['3281'],27.8CC3,賃,b'\xe8\xb3\x83',人壬貝,一人土貝
3967,['9660'],27.8CD5,賕,b'\xe8\xb3\x95',求貝,求貝
3968,['4658'],27.8CFC,購,b'\xe8\xb3\xbc',貝冓,冉貝
3969,['49097'],27.E550,,b'\xee\x95\x90',一入屮屮屮貝,十廾貝食
3970,['3280'],27.8CB2,貲,b'\xe8\xb2\xb2',人止貝,匕止貝
3971,['10249'],27.8CE8,賨,b'\xe8\xb3\xa8',賨 = 貝、,示貝
3972,['49275'],27.F056,,b'\xef\x81\x96',貝,儿儿土囗貝
3973,['2844'],27.8CB4,貴,b'\xe8\xb2\xb4',貝,一中貝
3974,['9661'],27.8CCF,賏,b'\xe8\xb3\x8f',貝貝,貝貝
3975,['8362'],27.8CBA,貺,b'\xe8\xb2\xba',儿口貝,儿口貝
3976,['10822'],27.8CF5,賵,b'\xe8\xb3\xb5',一一一目貝〈,二网貝
3977,['4056'],27.8CED,賭,b'\xe8\xb3\xad',貝,日老貝
3978,['2838'],27.8CBC,貼,b'\xe8\xb2\xbc',卜口貝,卜口貝
3979,['2840'],27.8CBD,貽,b'\xe8\xb2\xbd',口巳貝,口貝
3980,['49307'],27.E551,,b'\xee\x95\x91',,
3981,['4657'],27.8CFD,賽,b'\xe8\xb3\xbd',又工工工工土貝,儿貝
3982,['4660'],27.8CFB,賻,b'\xe8\xb3\xbb',一卜又又口貝﹔,寸甫貝
3983,['5113'],27.8D0D,贍,b'\xe8\xb4\x8d',贍 = 一厂人入八口貝,厂人儿貝言
3984,['713'],27.9091,邑,b'\xe9\x82\x91',囗,邑
3985,['716'],27.90A6,邦,b'\xe9\x82\xa6',土囗屮】,丰邑
3985,['716'],27.E552,,b'\xee\x95\x92',一一一入屮屮豕〈,一艸豕食
3986,['1933'],27.90E1,郡,b'\xe9\x83\xa1',又口囗,口尹邑
3987,['2421'],27.90FD,都,b'\xe9\x83\xbd',囗,日老邑
3988,['4089'],27.9130,鄰,b'\xe9\x84\xb0',囗火火,舛米邑
3989,['12662'],27.9147,酇,b'\xe9\x85\x87',儿儿囗之之貝,儿儿牛牛貝邑
3990,['3706'],27.9119,鄙,b'\xe9\x84\x99',入囗囗﹏,口口囗邑
3991,['1481'],27.90CA,郊,b'\xe9\x83\x8a',大囗★,父邑
3992,['1088'],27.90B8,邸,b'\xe9\x82\xb8',一囗﹎,一氏邑
3993,['7124'],27.90DB,郛,b'\xe9\x83\x9b',囗子爪,子爪邑
3994,['2871'],27.90F5,郵,b'\xe9\x83\xb5',土囗,邑垂
3995,['50223'],27.E553,,b'\xee\x95\x93',,厂犬日月食
3996,['10289'],27.912F,鄯,b'\xe9\x84\xaf',鄯 = 一一入入口口囗﹗,口羊艸邑
3997,['41192'],27.E554,,b'\xee\x95\x94',,
3998,['50292'],27.E555,,b'\xee\x95\x95',,一人人口比食
3999,['6147'],27.90B0,邰,b'\xe9\x82\xb0',口囗巳,口邑
4000,['50116'],27.E556,,b'\xee\x95\x96',一入工口口爻衣Σ,一人口口食
4000,['567'],27.5C90,岐,b'\xe5\xb2\x90',又山竹,山支
4000,['25771'],27.E557,,b'\xee\x95\x97',,
4001,['5790'],27.90A0,邠,b'\xe9\x82\xa0',八刀囗,儿刀邑
4001,['4655'],27.8C73,豳,b'\xe8\xb1\xb3',山豕豕,山豕豕
4002,['8404'],27.90FF,郿,b'\xe9\x83\xbf',囗目﹖,网邑
4003,['1483'],27.90C1,郁,b'\xe9\x83\x81',又囗月,又月邑
4004,['9683'],27.9120,鄠,b'\xe9\x84\xa0',一囗雨,一邑雨
4005,['2119'],27.6248,扈,b'\xe6\x89\x88',囗戶,戶邑
4005,['25529'],27.E559,,b'\xee\x95\x99',,
4006,['50359'],27.E55A,,b'\xee\x95\x9a',,
4007,['50145'],27.E55B,,b'\xee\x95\x9b',,
4008,['1934'],27.90DD,郝,b'\xe9\x83\x9d',大囗火,赤邑
4009,['12493'],27.9146,酆,b'\xe9\x85\x86',囗囗⊙↓,山丰丰豆邑
4010,['4090'],27.912D,鄭,b'\xe9\x84\xad',丌囗酉∵,儿大酉邑
4011,['1484'],27.90C3,郃,b'\xe9\x83\x83',一入口囗,一人口邑
4012,['50096'],27.E55C,,b'\xee\x95\x9c',,
4013,['50446'],27.E55D,,b'\xee\x95\x9d',,
4014,['9682'],27.911C,鄜,b'\xe9\x84\x9c',鄜 = 人囗火Ξ,邑鹿
4015,['50402'],27.E55E,,b'\xee\x95\x9e',,
4016,['50146'],27.E55F,,b'\xee\x95\x9f',,
4017,['50182'],27.E560,,b'\xee\x95\xa0',,
4018,['6587'],27.90BD,邽,b'\xe9\x82\xbd',土土囗,土土邑
4019,['2419'],27.90E8,部,b'\xe9\x83\xa8',口囗不,口立邑
4020,['7116'],27.90D6,郖,b'\xe9\x83\x96',囗囗⊙,豆邑
4021,['9081'],27.910F,鄏,b'\xe9\x84\x8f',一一一乙厂人又囗,寸辰邑
4022,['11694'],27.913B,鄻,b'\xe9\x84\xbb',一一囗車,夫夫車邑
4023,['50363'],27.E561,,b'\xee\x95\xa1',,
4024,['5576'],27.9099,邙,b'\xe9\x82\x99',入囗,邑
4025,['10291'],27.9129,鄩,b'\xe9\x84\xa9',一又又工口囗,又工寸口邑
4026,['7125'],27.90D7,郗,b'\xe9\x83\x97',囗希,乂又巾邑
4027,['8401'],27.9106,鄆,b'\xe9\x84\x86',囗包車,車邑
4028,['1090'],27.90B6,邶,b'\xe9\x82\xb6',人人囗,匕人邑
4029,['5578'],27.9098,邘,b'\xe9\x82\x98',一囗,于邑
4030,['50246'],27.E562,,b'\xee\x95\xa2',,
4031,['1087'],27.90B5,邵,b'\xe9\x82\xb5',刀口囗,刀口邑
4032,['9080'],27.910D,鄍,b'\xe9\x84\x8d',一一入八囗囗〈,儿日邑
4033,['9079'],27.9110,鄐,b'\xe9\x84\x90',囗田玄,田玄邑
4034,['8411'],27.9107,鄇,b'\xe9\x84\x87',厂人入囗↙,一人矢邑
4035,['6143'],27.90B2,邲,b'\xe9\x82\xb2',八囗﹍,必邑
4036,['7127'],27.90E4,郤,b'\xe9\x83\xa4',口囗…,邑谷
4037,['50241'],27.E563,,b'\xee\x95\xa3',,
4038,['50320'],27.E564,,b'\xee\x95\xa4',,
4039,['50167'],27.E565,,b'\xee\x95\xa5',,
4040,['8406'],27.9108,鄈,b'\xe9\x84\x88',入囗止止↙,一大邑
4041,['714'],27.90A2,邢,b'\xe9\x82\xa2',囗幵,一廾邑
4042,['9084'],27.9114,鄔,b'\xe9\x84\x94',囗烏,火邑
4043,['1039'],27.7941,祁,b'\xe7\xa5\x81',囗、,示邑
4044,['4385'],27.9134,鄴,b'\xe9\x84\xb4',囗「,未丘艸邑
4045,['50112'],27.E566,,b'\xee\x95\xa6',,
4046,['6145'],27.90AF,邯,b'\xe9\x82\xaf',一口囗,甘邑
