小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
100,['3121'],27.745B,瑛,b'\xe7\x91\x9b',屮屮玉,玉央艸
101,['28930'],27.E01D,,b'\xee\x80\x9d',,
102,['6898'],27.73DB,珛,b'\xe7\x8f\x9b',又月玉,又月玉
103,['4770'],27.74BF,璿,b'\xe7\x92\xbf',玉睿,一卜人儿玉网
103,['28926'],27.E01E,,b'\xee\x80\x9e',,弗貝金
103,['10422'],28.53E1,叡,b'\xe5\x8f\xa1',又口水目,一卜人儿又网
104,['2256'],27.7403,球,b'\xe7\x90\x83',玉求,玉求
104,['10022'],27.7486,璆,b'\xe7\x92\x86',人玉羽,人玉羽
105,['2695'],27.7433,琳,b'\xe7\x90\xb3',屮屮玉｛｛,木木玉
106,['4769'],27.74A7,璧,b'\xe7\x92\xa7',璧 = 一一入口玉,口尸玉辛
107,['8783'],27.7457,瑗,b'\xe7\x91\x97',一又爪玉,一又又爪玉
108,['4543'],27.74B0,環,b'\xe7\x92\xb0',屮玉目衣–,一一人口玉网
109,['4264'],27.749C,璜,b'\xe7\x92\x9c',玉田,玉黃
110,['8129'],27.742E,琮,b'\xe7\x90\xae',琮 = 玉、,玉示
111,['2697'],27.7425,琥,b'\xe7\x90\xa5',玉虍←,儿玉虍
112,['5071'],27.74CF,瓏,b'\xe7\x93\x8f',瓏 = 一一一十人入囗屮玉肉｛￣,玉龍
113,['8130'],27.742C,琬,b'\xe7\x90\xac',月玉,夕玉
114,['3924'],27.748B,璋,b'\xe7\x92\x8b',璋 = 一一十入口玉,十玉音
115,['8131'],27.7430,琰,b'\xe7\x90\xb0',火火玉,火火玉
116,['6073'],27.73A0,玠,b'\xe7\x8e\xa0',人八玉,人儿玉
117,['8781'],27.7452,瑒,b'\xe7\x91\x92',一一囗勿玉,一一一日玉
118,['12861'],27.74DB,瓛,b'\xe7\x93\x9b',犬玉虍鬲,犬玉虍鬲
119,['7491'],27.73FD,珽,b'\xe7\x8f\xbd',一十人玉,一土玉
120,['3118'],27.7441,瑁,b'\xe7\x91\x81',一一一玉目〈,二玉网
120,['28706'],27.E01F,,b'\xee\x80\x9f',,儿豕金
121,['28960'],27.E020,,b'\xee\x80\xa0',一一入力土虍≠◤,力毋虍金
122,['6895'],27.73E9,珩,b'\xe7\x8f\xa9',彳彳玉,玉行
123,['6071'],27.73A6,玦,b'\xe7\x8e\xa6',又玉﹕,夬玉
124,['3117'],27.745E,瑞,b'\xe7\x91\x9e',玉耑,山玉而
125,['6890'],27.73E5,珥,b'\xe7\x8f\xa5',玉耳,玉耳
126,['9437'],27.7471,瑱,b'\xe7\x91\xb1',人八玉目,十儿玉
126,['41718'],27.E021,,b'\xee\x80\xa1',一入土弓隹≠,弓隹金
